Country,Subject Descriptor,Units,Scale,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After
Albania,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.025,0.026,0.027,0.028,0.028,0.028,0.028,0.028,0.029,0.03,0.031,0.031,0.03,0.03,0.029,0.028,0.028,0.028,0.028,0.028,0.028,0.029,0.029,0.029,0.029,0.029,2017
Albania,Total investment,Percent of GDP,,19.735,30.796,34.989,35.264,33.897,34.197,36.87,35.698,34.462,33.374,32.641,31.318,33.462,29.824,27.618,27.347,26.075,24.986,23.505,22.861,22.838,22.784,22.573,22.229,21.935,21.579,2017
Albania,Gross national savings,Percent of GDP,,17.803,23.768,28.703,25.056,26.156,28.359,27.784,29.59,23.837,17.569,16.654,20.023,20.254,19.674,16.692,13.172,15.761,16.966,17.43,17.906,17.88,18.103,17.731,17.247,16.727,16.257,2017
Albania,"Inflation, average consumer prices",Index,,66.556,66.582,68.66,72.231,73.938,76.058,77.855,79.7,82.059,84.775,86.667,89.8,92.892,94.783,96.608,98.167,100,101.282,103.295,105.39,107.498,110.077,113.16,116.554,120.051,123.653,2018
Albania,"Inflation, average consumer prices",Percent change,,0.389,0.039,3.12,5.202,2.363,2.867,2.363,2.37,2.96,3.31,2.231,3.615,3.443,2.036,1.925,1.613,1.868,1.282,1.987,2.029,1.999,2.4,2.8,3,3,3,2018
Albania,Volume of imports of goods and services,Percent change,,38.743,-3.432,23.272,11.868,8.409,10.704,8.434,5.37,18.938,11.845,-2.358,-8.558,3.468,-7.44,-8.717,5.374,0.154,8.489,5.883,3.289,5.194,4.832,5.316,5.458,5.384,5.639,2017
Albania,Volume of Imports of goods,Percent change,,30.279,-14.3,33.181,6.066,7.733,21.067,9.912,7.15,21.222,11.745,-2.735,-9.629,3.533,-5.237,-13.269,6.045,2.206,9.731,4.166,2.066,4.938,4.397,5.565,5.815,5.686,5.683,2017
Albania,Volume of exports of goods and services,Percent change,,88.951,16.254,23.9,3.878,9.51,20.63,6.026,12.612,16.999,15.351,0.754,10.279,1.765,-2.221,-9.908,3.295,5.284,10.389,10.139,2.773,4.927,5.842,4.794,4.562,4.669,5.013,2017
Albania,Volume of exports of goods,Percent change,,25.413,-7.088,23.048,8.253,25.15,24.013,2.948,5.254,19.965,11.65,-11.311,29.165,8.592,6.259,-27.509,-6.275,4.396,-0.343,-1.517,9.377,7.299,10.279,7.601,6.931,6.739,8.006,2017
Albania,Unemployment rate,Percent of total labor force,,18.4,16.8,16.44,15.751,15,14.4,14.1,13.8,13.4,13.1,13.8,14,14,13.4,16,17.5,17.1,15.2,13.756,12.2,13.719,13.225,13.048,13.331,13.201,13.193,2016
Albania,Population,Persons,Millions,3.109,3.089,3.06,3.051,3.04,3.027,3.011,2.993,2.97,2.947,2.928,2.913,2.905,2.9,2.895,2.889,2.881,2.876,2.876,2.874,2.87,2.865,2.861,2.856,2.851,2.847,2016
Albania,General government revenue,Percent of GDP,,28.266,26.066,25.848,25.323,24.674,24.992,25.434,25.928,26.13,26.842,26.093,25.867,25.407,24.789,23.939,26.326,26.381,27.364,27.749,27.239,27.355,27.234,26.956,26.728,26.518,26.332,2018
Albania,General government total expenditure,Percent of GDP,,37.108,33.838,32.685,31.535,29.68,30.155,28.892,29.191,29.309,31.726,32.679,29.387,28.923,28.229,29.146,31.795,30.444,29.125,29.141,28.982,29.376,29.165,28.879,28.662,28.375,28.119,2018
Albania,General government net lending/borrowing,Percent of GDP,,-8.841,-7.772,-6.837,-6.212,-5.006,-5.163,-3.458,-3.263,-3.179,-4.884,-6.586,-3.52,-3.516,-3.441,-5.207,-5.469,-4.063,-1.761,-1.392,-1.743,-2.021,-1.931,-1.924,-1.934,-1.857,-1.787,2018
Albania,General government primary net lending/borrowing,Percent of GDP,,-1.129,-1.872,-2.645,-2.155,-0.606,-1.31,-0.221,-0.398,-0.535,-1.987,-3.413,-0.164,-0.355,-0.327,-2.002,-2.591,-1.363,0.7,0.665,0.471,0.153,0.206,0.158,0.168,0.327,0.331,2018
Albania,General government gross debt,Percent of GDP,,68.183,63.769,60.613,64.097,60.245,57.474,58.203,56.688,53.55,55.14,59.666,57.72,59.413,62.144,70.279,72.142,73.88,73.287,71.871,68.59,65.125,63.311,60.355,58.517,56.029,55.825,2018
Albania,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,443.594,501.199,563.449,610.494,677.738,737.656,804.163,872.735,965.528,1080.676,1143.936,1239.645,1300.624,1332.811,1352.197,1392.414,1431.138,1473.233,1551.047,1649.173,1747.54,1860.37,1987.958,2132.143,2286.375,2451.829,2018
Albania,Current account balance,U.S. dollars,Billions,-0.062,-0.246,-0.248,-0.442,-0.432,-0.42,-0.734,-0.544,-1.138,-2.039,-1.929,-1.348,-1.703,-1.251,-1.183,-1.43,-0.978,-0.899,-0.979,-0.95,-0.964,-0.999,-1.089,-1.181,-1.312,-1.433,2017
Albania,Current account balance,Percent of GDP,,-1.946,-7.068,-6.314,-10.17,-7.693,-5.847,-9.113,-6.111,-10.661,-15.805,-15.95,-11.294,-13.208,-10.15,-9.237,-10.815,-8.609,-7.573,-7.501,-6.251,-6.043,-5.804,-5.855,-5.848,-6.022,-6.106,2017
Algeria,"Gross domestic product, constant prices",Percent change,,3.2,3.8,3,5.6,7.2,4.3,5.9,1.684,3.373,2.36,1.632,3.616,2.823,3.391,2.8,3.8,3.7,3.2,1.4,2.059,2.316,1.777,1.369,1.085,0.387,0.432,2017
Algeria,"Gross domestic product, deflator",Index,,82.157,100.478,100.002,101.324,109.764,123.207,143.076,158.189,168.35,194.201,172.47,200.241,236.926,254.611,254.373,253.609,237.237,241.055,252.228,279.662,282.422,296.02,317.52,344.124,380.511,386.768,2017
Algeria,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,10248.747,10449.539,10607.251,11037.235,11657.137,11977.705,12495.6,12517.121,12745.551,12769.904,12729.21,12929.226,13026.656,13188.92,13274.279,13490.897,13692.846,13828.922,13725.076,13724.501,13769.091,13752.156,13691.383,13603.882,13434.026,13282.055,2017
Algeria,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.511,0.506,0.509,0.522,0.538,0.533,0.539,0.52,0.51,0.507,0.518,0.51,0.503,0.504,0.502,0.503,0.505,0.505,0.493,0.486,0.482,0.474,0.464,0.453,0.439,0.425,2017
Algeria,Total investment,Percent of GDP,,28.717,25.014,26.754,30.804,30.337,33.305,31.334,29.837,34.294,37.349,46.959,42.328,38.572,41.301,44.978,47.511,52.857,53.949,50.929,48.876,43.178,38.098,36.248,34.926,32.28,27.186,2017
Algeria,Gross national savings,Percent of GDP,,28.758,41.713,39.65,38.484,43.316,46.333,51.861,54.575,56.964,57.494,47.259,49.869,48.46,47.18,45.376,43.098,36.416,37.416,37.75,39.777,30.634,28.837,28.139,29.335,28.621,24.722,2017
Algeria,"Inflation, average consumer prices",Index,,95.682,95.969,100,101.43,105.75,109.95,111.47,114.05,118.24,123.98,131.1,136.23,142.36,155.053,160.1,164.77,172.653,183.699,193.97,202.253,213.579,227.888,247.715,272.982,306.285,349.165,2017
Algeria,"Inflation, average consumer prices",Percent change,,2.6,0.3,4.2,1.43,4.259,3.972,1.382,2.315,3.674,4.855,5.743,3.913,4.5,8.916,3.255,2.917,4.784,6.398,5.591,4.27,5.6,6.7,8.7,10.2,12.2,14,2017
Algeria,Volume of imports of goods and services,Percent change,,1.8,7.6,11.2,23.2,-2.911,21.906,6.292,-8.77,14.785,34.873,12.357,-1.781,5.469,13.432,8.972,9.143,-7.602,-1.898,-1.372,-5.992,8.646,-8.103,-3.557,-8.648,-6.904,-5.206,2017
Algeria,Volume of Imports of goods,Percent change,,-0.454,26.651,4.383,23.464,-9.136,21.906,6.292,-8.77,14.785,34.873,12.357,-1.781,5.469,13.432,8.972,9.143,-7.602,-1.898,-1.372,-5.992,8.646,-8.103,-3.557,-8.648,-6.904,-5.206,2017
Algeria,Volume of exports of goods and services,Percent change,,3.518,3.325,-1.696,5.798,6.754,2.729,4.954,-3.007,-1.882,-3.568,-8.443,-3.218,-4.822,-3.652,-6.394,0.311,5.733,9.612,-4.895,-9.393,4.547,1.572,1.934,1.502,1.406,1.272,2017
Algeria,Volume of exports of goods,Percent change,,4.94,4.952,-2.225,3.64,7.286,3.386,5.276,-2.354,-1.935,-3.264,-10.312,-2.882,-3.816,-4.004,-6.89,0.474,1.755,7.883,-2.453,-8.967,3.887,1.749,2.047,1.61,1.556,1.449,2017
Algeria,Unemployment rate,Percent of total labor force,,29.293,29.496,27.306,25.664,23.716,17.656,15.265,12.512,13.793,11.343,10.167,9.961,9.971,10.969,9.829,10.6,11.214,10.498,11.709,11.731,12.575,13.677,14.957,16.384,18.12,19.847,2017
Algeria,Population,Persons,Millions,29.965,30.506,30.954,31.414,31.885,32.366,32.855,33.351,33.858,34.591,35.268,35.978,36.717,37.495,38.297,39.114,39.963,40.836,41.721,42.582,43.427,44.253,45.058,45.84,46.599,47.336,2017
Algeria,General government revenue,Percent of GDP,,29.948,38.272,34.991,35.449,37.078,36.024,40.739,42.814,39.834,47.566,36.792,37.212,40.019,39.109,35.786,33.305,30.544,28.597,32.526,33.292,29.869,29.353,28.092,27.371,27.033,28.817,2017
Algeria,General government total expenditure,Percent of GDP,,31.843,28.571,31.251,34.285,32.202,30.765,27.108,28.853,33.236,37.95,42.6,37.251,40.123,43.543,36.186,40.606,45.811,41.64,39.166,38.479,36.419,31.962,29.731,27.634,25.29,26.916,2017
Algeria,General government net lending/borrowing,Percent of GDP,,-1.895,9.701,3.74,1.164,4.876,5.259,13.631,13.961,6.598,9.616,-5.807,-0.038,-0.104,-4.435,-0.4,-7.3,-15.267,-13.044,-6.641,-5.186,-6.55,-2.609,-1.639,-0.263,1.743,1.901,2017
Algeria,General government primary net lending/borrowing,Percent of GDP,,1.054,12.666,5.796,2.755,5.728,5.155,13.4,13.764,6.465,9.4,-6.293,-0.507,-1.335,-5.306,-0.45,-7.428,-15.843,-13.113,-6.27,-5.557,-6.778,-2.731,-1.749,-0.351,1.766,1.735,2017
Algeria,General government gross debt,Percent of GDP,,82.019,62.813,54.267,51.251,42.148,35.193,26.288,23.638,13.5,8.062,9.77,10.493,9.257,9.332,7.601,7.673,8.747,20.44,27.455,36.872,46.918,48.895,49.427,47.429,42.96,43.34,2017
Algeria,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,3248.198,4123.5,4227.1,4522.8,5252.3,6149.1,7562,8501.636,9352.886,11043.704,9968.025,11991.564,14589,16209.6,16647.9,17228.6,16712.686,17525.1,18594.1,21041.103,21740.822,23192.492,25217.556,27627.113,30666.377,31305.471,2017
Algeria,Current account balance,U.S. dollars,Billions,0.02,9.142,7.06,4.359,8.808,11.116,21.183,28.95,30.6,34.449,0.411,12.157,19.802,12.29,0.835,-9.436,-27.29,-26.473,-22.08,-16.419,-23.042,-17.879,-16.212,-11.662,-7.917,-5.04,2017
Algeria,Current account balance,Percent of GDP,,0.041,16.699,12.896,7.68,12.979,13.028,20.526,24.738,22.671,20.146,0.3,7.541,9.889,5.88,0.398,-4.413,-16.442,-16.532,-13.178,-9.099,-12.544,-9.261,-8.109,-5.591,-3.659,-2.464,2017
Angola,"Gross domestic product, constant prices",Percent change,,2.181,3.055,4.206,13.666,2.99,10.953,15.029,11.548,14.01,11.166,0.859,4.859,3.472,8.542,4.955,4.823,0.944,-2.58,-0.15,-1.699,0.444,2.881,2.219,2.962,3.801,3.862,2017
Angola,"Gross domestic product, deflator",Index,,3.853,19.958,41.184,100,193.927,258.776,368.434,431.502,450.093,537.276,447.224,588.945,776.062,832.371,856.008,886.489,855.299,1041.534,1277.107,1739.787,1975.142,2186.144,2344.512,2485.361,2622.528,2778.15,2017
Angola,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,3724.832,3726.807,3770.443,4160.874,4160.462,4481.708,5005.107,5420.467,5999.885,6475.566,6340.935,6455.393,6484.974,6833.913,6963.597,7086.821,6944.557,6563.18,6351.606,6057.241,5906.9,5900.096,5855.338,5853.151,5898.648,5948.017,2015
Angola,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.103,0.101,0.103,0.114,0.113,0.119,0.13,0.138,0.149,0.161,0.163,0.163,0.162,0.17,0.173,0.175,0.171,0.161,0.155,0.147,0.143,0.143,0.141,0.14,0.14,0.14,2017
Angola,Total investment,Percent of GDP,,64.748,30.493,30.493,30.493,30.451,30.894,27.557,23.301,25.731,30.804,42.821,28.197,26.424,26.668,26.143,27.5,34.202,27.215,24.13,20.595,19.796,20.016,20.229,20.621,21.047,21.444,2017
Angola,Gross national savings,Percent of GDP,,0.08,37.618,17.401,27.422,26.017,33.543,41.158,43.429,39.743,37.691,26.329,34.833,37.876,37.228,32.007,29.807,28.491,24.487,23.351,21.906,15.947,18.147,18.359,19.004,19.65,20.219,2017
Angola,"Inflation, average consumer prices",Index,,0.637,2.707,6.838,14.284,28.313,40.637,49.968,56.616,63.551,71.472,81.278,93.047,105.594,116.454,126.681,135.927,148.377,193.92,251.795,301.218,353.821,393.158,424.214,451.585,478.68,507.4,2018
Angola,"Inflation, average consumer prices",Percent change,,248.248,325.029,152.586,108.893,98.219,43.525,22.961,13.305,12.249,12.465,13.721,14.48,13.484,10.285,8.782,7.298,9.159,30.694,29.844,19.629,17.463,11.118,7.899,6.452,6,6,2018
Angola,Volume of imports of goods and services,Percent change,,26.806,3.965,13.854,-6.072,13.358,9.402,37.501,1.07,48.219,45.536,6.096,-21.438,10.415,8.439,9.125,11.238,-21.86,-25.328,0.061,10.201,-9.463,0.782,0.907,4.812,1.169,2.931,2017
Angola,Volume of Imports of goods,Percent change,,56.08,1.023,2.037,5.055,32.941,-3.648,38.303,-1.258,42.85,36.353,18.12,-31.762,8.131,21.764,12.947,10.881,-20.228,-32.336,3.753,13.738,-9.512,0.791,0.912,4.821,1.175,2.947,2017
Angola,Volume of exports of goods and services,Percent change,,1.426,1.624,-2.578,23.562,-1.931,13.537,28.148,14.255,17.501,10.105,-2.64,-3.266,-5.404,3.838,0.064,-2.115,6.721,-0.662,-4.776,1.308,1.074,0.194,0.366,0.963,0.355,1.758,2017
Angola,Volume of exports of goods,Percent change,,1.426,1.624,-2.578,23.562,-1.578,13.226,30.262,9.97,22.12,10.307,-3.61,-3.425,-4.837,3.829,-0.752,-2.985,5.75,0.571,-5.061,1.403,0.496,0.638,0.187,0.882,0.264,1.7,2017
Angola,Population,Persons,Millions,16.625,17.124,17.637,18.166,18.711,19.273,19.851,20.446,21.06,21.692,22.342,23.013,23.703,24.414,25.147,25.901,26.681,27.503,28.377,29.25,30.128,31.031,31.962,32.921,33.909,34.926,2015
Angola,General government revenue,Percent of GDP,,41.128,42.858,37.463,28.681,29.715,30.987,33.697,40.027,42.44,48.431,37.11,42.789,45.483,41.34,36.746,30.736,24.134,17.523,17.486,22.064,18.951,19.839,19.845,19.549,19.129,18.823,2017
Angola,General government total expenditure,Percent of GDP,,51.772,40.568,34.287,31.223,34.4,29.803,26.527,30.604,38.129,52.666,45.007,39.394,37.402,37.209,37.05,36.457,27.051,22.043,23.798,19.66,18.879,19.972,19.872,19.7,19.388,19.103,2017
Angola,General government net lending/borrowing,Percent of GDP,,-10.645,2.289,3.176,-2.542,-4.685,1.184,7.17,9.423,4.312,-4.235,-7.897,3.395,8.081,4.131,-0.304,-5.72,-2.917,-4.52,-6.313,2.404,0.071,-0.133,-0.027,-0.152,-0.259,-0.28,2017
Angola,General government primary net lending/borrowing,Percent of GDP,,-3.257,6.725,7.25,-0.208,-3.255,3.104,8.678,10.69,5.384,-2.389,-6.048,4.557,8.983,4.992,0.447,-4.677,-1.136,-1.678,-2.97,6.949,5.217,5.483,5.407,5.006,4.526,4.17,2017
Angola,General government gross debt,Percent of GDP,,n/a,133.914,113.505,73.736,57.968,47.717,33.464,18.729,21.043,31.378,56.302,37.163,29.558,26.691,33.149,39.81,57.093,75.663,68.544,88.087,90.456,82.767,79.681,75.426,70.892,66.089,2017
Angola,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,21.002,112.118,241.088,665.385,1328.94,1967.571,3222.352,4209.762,5006.335,6643.353,5577.341,7701.651,10500.942,12224.95,13195.004,14323.859,13950.291,16549.565,20262.296,27134.119,30941.393,35233.61,38624.323,42157.311,46174.634,50803.78,2017
Angola,Current account balance,U.S. dollars,Billions,-1.71,0.796,-1.431,-0.15,-0.72,0.681,5.138,10.69,10.581,7.194,-7.572,7.506,13.085,13.853,8.348,-3.748,-10.273,-4.848,-0.34,1.407,-3.548,-1.802,-1.877,-1.693,-1.542,-1.431,2017
Angola,Current account balance,Percent of GDP,,-22.728,7.125,-13.092,-0.982,-4.04,2.892,13.897,20.408,16.212,8.126,-10.769,8.957,11.705,10.818,6.107,-2.572,-8.841,-4.794,-0.278,1.311,-3.849,-1.869,-1.87,-1.617,-1.398,-1.225,2017
Antigua and Barbuda,"Gross domestic product, constant prices",Percent change,,3.708,6.692,-4.954,1.024,6.058,5.736,6.412,12.729,9.259,-0.03,-12.108,-7.2,-2.079,3.507,-0.104,4.658,4.026,4.827,3.627,5.326,3.982,3.305,2.499,2,2,2,2017
Antigua and Barbuda,"Gross domestic product, deflator",Index,,91.262,92.678,94.054,94.713,93.801,95.341,99.593,100,103.739,108.283,110.219,111.806,113.147,115.954,114.303,116.783,119.623,122.967,122.857,125.107,126.988,129.529,132.122,134.769,137.469,140.224,2017
Antigua and Barbuda,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,20009.091,20906.228,19537.38,19527.445,20490.029,21434.899,22566.686,25168.403,27206.247,26908.646,23399.015,21483.228,20812.723,21313.319,21064.632,21811.269,22447.906,23281.034,23868.651,24872.466,25587.775,26152.076,26520.413,26762.985,27007.776,27254.806,2011
Antigua and Barbuda,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.002,0.003,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,2017
Antigua and Barbuda,Total investment,Percent of GDP,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,24.523,24.047,24.476,24.665,25.025,25.287,25.527,25.722,25.888,26.048,26.201,2017
Antigua and Barbuda,Gross national savings,Percent of GDP,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,24.485,29.293,22.263,17.764,20.278,21.791,21.817,21.848,22.131,22.272,22.433,2017
Antigua and Barbuda,"Inflation, average consumer prices",Index,,98.628,98.469,100.374,102.791,104.84,106.968,109.213,111.166,112.74,118.753,118.1,122.08,126.3,130.565,131.948,133.386,134.678,134.02,137.279,139.081,141.821,144.669,147.575,150.538,153.562,156.645,2017
Antigua and Barbuda,"Inflation, average consumer prices",Percent change,,1.135,-0.162,1.935,2.408,1.994,2.03,2.099,1.788,1.416,5.334,-0.55,3.37,3.457,3.377,1.059,1.089,0.969,-0.489,2.432,1.313,1.97,2.008,2.008,2.008,2.008,2.008,2017
Antigua and Barbuda,Volume of imports of goods and services,Percent change,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.069,14.22,1.082,8.183,6.078,3.518,2.924,2.543,2.553,2.568,2016
Antigua and Barbuda,Volume of Imports of goods,Percent change,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-7.259,5.183,7.205,14.955,5.428,3.352,2.736,2.551,2.709,2.792,2016
Antigua and Barbuda,Volume of exports of goods and services,Percent change,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-0.657,3.655,-8.636,16.079,5.923,2.93,2.184,1.893,1.826,1.935,2016
Antigua and Barbuda,Volume of exports of goods,Percent change,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-20.532,-23.784,-28.68,-2.943,6.579,5.333,3.341,2.872,2.459,3.053,2016
Antigua and Barbuda,Population,Persons,Millions,0.074,0.076,0.077,0.078,0.079,0.079,0.08,0.081,0.082,0.083,0.084,0.085,0.086,0.086,0.087,0.088,0.089,0.09,0.091,0.092,0.093,0.094,0.095,0.096,0.097,0.098,2011
Antigua and Barbuda,General government revenue,Percent of GDP,,18.785,18.005,17.109,19.294,18.757,20.122,19.3,21.863,21.368,21.05,18.434,22.214,20.285,19.779,18.745,19.732,23.705,24.043,21.051,19.93,20.074,18.885,18.528,18.245,17.221,17.153,2017
